Student,Teacher
S_19,T_01
S_42,T_01
S_32,T_01
S_55,T_01
S_57,T_01
S_27,T_01
S_26,T_01
S_65,T_01
S_66,T_01
S_20,T_01
S_39,T_01
S_71,T_01
S_75,T_01
S_37,T_01
S_84,T_01
S_12,T_01
S_11,T_01
S_10,T_01
S_87,T_01
S_08,T_01
S_02,T_01
S_06,T_01
S_90,T_01
S_92,T_01
S_77,T_02
S_40,T_02
S_47,T_02
S_94,T_02
S_54,T_02
S_88,T_02
S_80,T_02
S_58,T_02
S_60,T_02
S_63,T_02
S_69,T_02
S_56,T_02
S_01,T_02
S_49,T_02
S_36,T_02
S_04,T_02
S_38,T_02
S_25,T_02
S_28,T_02
S_29,T_02
S_31,T_02
S_33,T_02
S_97,T_02
S_34,T_02
S_48,T_03
S_14,T_03
S_74,T_03
S_73,T_03
S_46,T_03
S_82,T_03
S_83,T_03
S_13,T_03
S_86,T_03
S_09,T_03
S_22,T_03
S_07,T_03
S_23,T_03
S_78,T_03
S_95,T_03
S_24,T_03
S_59,T_03
S_43,T_03
S_44,T_03
S_30,T_03
S_05,T_03
S_35,T_03
S_50,T_03
S_03,T_03
S_81,T_04
S_89,T_04
S_85,T_04
S_79,T_04
S_93,T_04
S_91,T_04
S_72,T_04
S_76,T_04
S_96,T_04
S_51,T_04
S_52,T_04
S_53,T_04
S_45,T_04
S_61,T_04
S_62,T_04
S_64,T_04
S_21,T_04
S_67,T_04
S_41,T_04
S_18,T_04
S_70,T_04
S_17,T_04
S_16,T_04
S_15,T_04
S_68,T_04
